Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn
balance.1,0.05,0.05,0.9833000000000023,0.08489810796263181,0.9333000000000022,0.034898107962631805
balance.1,0.1,0.1,0.9772333333333355,0.1782246591740106,0.8772333333333355,0.07822465917401059
balance.1,0.15,0.15,0.9640333333333344,0.16059822636522075,0.8140333333333344,0.010598226365220759
balance.1,0.2,0.2,0.8332333333333323,0.2617570107897457,0.6332333333333322,0.061757010789745714
balance.1,0.25,0.25,0.8267000000000001,0.32672326585150824,0.5767000000000001,0.07672326585150824
balance.1,0.3,0.3,0.7890333333333336,0.329513717048007,0.4890333333333336,0.029513717048007038
balance.1,0.35,0.35,0.7246333333333336,0.34097937450135857,0.3746333333333336,0.00902062549864141
balance.1,0.4,0.39999999999999997,0.6712999999999999,0.4099148599699961,0.2712999999999999,0.009914859969996082
balance.1,0.445,0.44999999999999996,0.5387333333333334,0.45515988187251105,0.09373333333333339,0.010159881872511045
balance.1,0.495,0.49999999999999994,0.4570333333333334,0.5003741927130454,0.03796666666666659,0.0053741927130454
balance.1,0.545,0.5499999999999999,0.3739666666666667,0.5273327426114276,0.17103333333333332,0.017667257388572444
balance.1,0.6,0.6,0.3082000000000002,0.6294700800989346,0.2917999999999998,0.029470080098934592
balance.1,0.65,0.65,0.34416666666666684,0.5908474906633078,0.3058333333333332,0.05915250933669225
balance.1,0.7,0.7,0.28283333333333355,0.6193865536679388,0.4171666666666664,0.08061344633206113
balance.1,0.75,0.75,0.12193333333333331,0.744563141550695,0.6280666666666667,0.005436858449304971
balance.1,0.8,0.7999999999999999,0.11843333333333333,0.7172728997720399,0.6815666666666667,0.08272710022796015
balance.1,0.85,0.85,0.04813333333333326,0.7939458576000777,0.8018666666666667,0.056054142399922235
balance.1,0.9,0.9,0.02306666666666655,0.8359287100302366,0.8769333333333335,0.06407128996976341
balance.1,0.95,0.95,0.015299999999999911,0.8928087480608223,0.9347000000000001,0.05719125193917762
balance.1,0.05,0.05,0.9833000000000023,0.09891066577549446,0.9333000000000022,0.04891066577549445
balance.1,0.1,0.1,0.9833000000000023,0.11471516460949047,0.8833000000000023,0.014715164609490461
balance.1,0.15,0.15,0.9454666666666655,0.22550051252265013,0.7954666666666654,0.07550051252265014
balance.1,0.2,0.2,0.9395666666666674,0.19548003674082487,0.7395666666666674,0.0045199632591751415
balance.1,0.25,0.25,0.8970333333333322,0.22412627891792192,0.6470333333333322,0.025873721082078083
balance.1,0.3,0.3,0.7568666666666671,0.36589331751055,0.45686666666666714,0.06589331751055
balance.1,0.35,0.35,0.6787333333333331,0.373382567488986,0.3287333333333331,0.02338256748898604
balance.1,0.4,0.39999999999999997,0.6327333333333329,0.41336687648408893,0.2327333333333329,0.013366876484088908
balance.1,0.445,0.44999999999999996,0.5797666666666668,0.45338305060247935,0.13476666666666676,0.008383050602479347
balance.1,0.495,0.49999999999999994,0.535066666666667,0.4862179228313047,0.04006666666666703,0.00878207716869528
balance.1,0.545,0.5499999999999999,0.5007000000000003,0.47839014891096365,0.044299999999999784,0.06660985108903639
balance.1,0.6,0.6,0.3629666666666669,0.5721162424733512,0.2370333333333331,0.027883757526648734
balance.1,0.65,0.65,0.25253333333333355,0.6377265699443472,0.39746666666666647,0.012273430055652845
balance.1,0.7,0.7,0.2719666666666669,0.6470288784802559,0.42803333333333304,0.052971121519744035
balance.1,0.75,0.75,0.2217666666666666,0.6637548911305575,0.5282333333333333,0.08624510886944248
balance.1,0.8,0.7999999999999999,0.12966666666666662,0.7297003586126847,0.6703333333333334,0.07029964138731537
balance.1,0.85,0.85,0.05616666666666662,0.7916582081422687,0.7938333333333334,0.05834179185773125
balance.1,0.9,0.9,0.015299999999999911,0.8752166238449678,0.8847000000000002,0.024783376155032233
balance.1,0.95,0.95,0.015299999999999911,0.8820557548794443,0.9347000000000001,0.06794424512055564
balance.3,0.05,0.05,0.9833000000000023,0.0869377178673797,0.9333000000000022,0.03693771786737969
balance.3,0.1,0.1,0.9468333333333347,0.12117334194719503,0.8468333333333348,0.02117334194719503
balance.3,0.15,0.15,0.9343000000000005,0.15521427049804715,0.7843000000000004,0.005214270498047152
balance.3,0.2,0.2,0.9090333333333327,0.23665245411928226,0.7090333333333327,0.03665245411928225
balance.3,0.25,0.25,0.8669999999999995,0.2511042604949748,0.6169999999999995,0.001104260494974807
balance.3,0.3,0.3,0.7889666666666674,0.29271918874377956,0.4889666666666674,0.007280811256220432
balance.3,0.35,0.35,0.6936999999999998,0.3571050355520624,0.3436999999999998,0.007105035552062433
balance.3,0.4,0.39999999999999997,0.6664333333333327,0.3684594092339231,0.26643333333333263,0.031540590766076904
