Dataset,Erro Médio Regressor,Erro Médio DySsyn,Tempo Médio Regressor (s),Tempo Médio DySsyn (s),Batch_Size
balance.1,0.04234955108359142,0.0406921279412258,0.014133373687448176,0.16134948947460784,170
balance.3,0.04757289989680116,0.0433747054585819,0.014484923685239138,0.16927685526101605,170
breast-cancer,0.026771382868937144,0.03934189363525137,0.012833721051911676,0.1627501526274596,170
cmc.1,0.2742585294117647,0.2042796221177798,0.014587244732722052,0.16283508421283363,170
cmc.2,0.4293452734778121,0.41155978961143636,0.0141729421095653,0.170960455265901,170
cmc.3,0.37058489680082557,0.3298029019807056,0.014628363162046298,0.17174702104622205,170
ctg.1,0.08932273477812137,0.08566765597815633,0.013074689474275434,0.15644286579213498,170
ctg.2,0.13295382868937083,0.1316856613742495,0.012784634214384775,0.14279065263384072,170
ctg.3,0.08092306501548024,0.04332942141526897,0.010849849997995127,0.1211412763223052,170
german,0.32067846233230196,0.4709984762021647,0.01086472631677201,0.1250763078860473,170
haberman,0.4640867647058826,0.4947057003083538,0.010511971054304587,0.12357237368460598,170
ionosphere,0.051678235294117844,0.022613846434119417,0.010895197374721695,0.12090896052694389,170
iris.2,0.029482337461300058,0.03377838486765277,0.011722823681530395,0.1260696842157478,170
iris.3,0.025324932920536513,0.019484825171333132,0.01062151316038676,0.12165178684364564,170
mammographic,0.09229084623322965,0.09664913187300302,0.010961531581798275,0.1290023052669743,170
pageblocks.5,0.2583163261093914,0.2738237189127948,0.010414615794281034,0.12229391315333105,170
semeion,0.1491803302373581,0.262446671335924,0.010164863164965553,0.12487181052136676,170
sonar,0.28832536119711066,0.0815229051866755,0.010636626318476996,0.12261703420785795,170
spambase,0.03410926728586198,0.031003699042287187,0.010925186848525252,0.1275482526306357,170
spectf,0.18951178018575834,0.4977882649434136,0.010547484217615994,0.12338073157987214,170
tictactoe,0.07155565531475762,0.06159066286144399,0.010956105261452888,0.12503182632223653,170
transfusion,0.37229544891640853,0.36186163248209424,0.010216760521105147,0.12273376315562545,170
wdbc,0.0368760474716206,0.04288969590009736,0.01130025526110426,0.12332577631949741,170
wine.1,0.03037645510835919,0.017968401923799626,0.011187268422585666,0.12144907368622769,170
wine.2,0.02719669246646024,0.011865190599064955,0.011175697367626095,0.12159632105153594,170
wine.3,0.05065036635706929,0.029077311845656862,0.011096447370762593,0.12119131578641061,170
wine-q-red,0.05339879772961806,0.04823468948650197,0.010668581582936704,0.12252331052379879,170
wine-q-white,0.1407289267285859,0.18853495130678333,0.010683650002312405,0.12865930262609923,170
yeast,0.33142480908152744,0.4415810490327851,0.010567763157029586,0.12709922104994276,170
