arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1460_banana.csv,0.05,0.132433667,0.082433667,0.004,100,0.080344866,1.668919924,0.105032952,0.055032952
moss_5_95.pkl,1460_banana.csv,0.1,0.209912667,0.109912667,0.01,100,0.111274412,1.78758267,0.136733288,0.036733288
moss_5_95.pkl,1460_banana.csv,0.15,0.246909333,0.096909333,0.061,100,0.136121532,2.125152866,0.211235294,0.061235294
moss_5_95.pkl,1460_banana.csv,0.2,0.262053,0.062053,0.022,100,0.152676849,1.744184573,0.225613286,0.025613286
moss_5_95.pkl,1460_banana.csv,0.25,0.286821,0.036821,0.013,100,0.158097693,1.831132767,0.251779334,0.001779334
moss_5_95.pkl,1460_banana.csv,0.3,0.330649333,0.030649333,0.011,100,0.169900111,1.882583429,0.307497793,0.007497793
moss_5_95.pkl,1460_banana.csv,0.35,0.387491333,0.037491333,0.006,100,0.181964382,1.94081482,0.311009084,0.038990916
moss_5_95.pkl,1460_banana.csv,0.4,0.437283667,0.037283667,0.027,100,0.180978027,2.156648599,0.422488733,0.022488733
moss_5_95.pkl,1460_banana.csv,0.44,0.508055667,0.068055667,0.033,100,0.17617979,2.208055006,0.437299352,0.002700648
moss_5_95.pkl,1460_banana.csv,0.49,0.538620333,0.048620333,0.013,100,0.185767577,2.019108336,0.480138862,0.009861138
moss_5_95.pkl,1460_banana.csv,0.54,0.547238,0.007238,0.004,100,0.18698916,1.847426741,0.482135236,0.057864764
moss_5_95.pkl,1460_banana.csv,0.6,0.635606,0.035606,0.041,100,0.176634316,1.93396459,0.561755313,0.038244687
moss_5_95.pkl,1460_banana.csv,0.65,0.654186,0.004186,0.046,100,0.155424062,2.16877946,0.698751541,0.048751541
moss_5_95.pkl,1460_banana.csv,0.7,0.66767,0.03233,0.007,100,0.161082396,2.033906106,0.671221809,0.028778191
moss_5_95.pkl,1460_banana.csv,0.75,0.672791333,0.077208667,0.031,100,0.151613716,1.886184765,0.696974857,0.053025143
moss_5_95.pkl,1460_banana.csv,0.8,0.789334667,0.010665333,0.018,100,0.130652729,1.768733682,0.719362011,0.080637989
moss_5_95.pkl,1460_banana.csv,0.85,0.789213667,0.060786333,0.02,100,0.114863532,2.068067565,0.763577269,0.086422731
moss_5_95.pkl,1460_banana.csv,0.9,0.846426333,0.053573667,0.022,100,0.097737449,2.012727925,0.782572089,0.117427911
moss_5_95.pkl,1460_banana.csv,0.95,0.862196333,0.087803667,0.019,100,0.073915338,1.741361822,0.851789761,0.098210239
moss_5_95.pkl,1462_banknote-authentication.csv,0.05,0.060048,0.010048,0.006,100,0.044600972,0.914447646,0.051580309,0.001580309
moss_5_95.pkl,1462_banknote-authentication.csv,0.1,0.121212667,0.021212667,0.001,100,0.086285333,0.983807967,0.11353368,0.01353368
moss_5_95.pkl,1462_banknote-authentication.csv,0.15,0.153159,0.003159,0.008,100,0.119772083,1.0815745,0.139825313,0.010174687
